nest,year,nest_age,time,female,male,total,proportionF,annual_precip,annual_min_temp,wet_dry,warm_cold
A2_2015,2015,1,15,0,2,2,0.001,506.984,-2.316151362,Wet,Warm
A4_2019,2019,1,15,0,2,2,0.001,219.71,-3.47547053,Dry,Cold
A7_2020,2020,2,15,0,2,2,0.001,233.934,-3.252918217,Dry,Cold
A10_2014,2014,3,15,0,2,2,0.001,279.146,-2.878476994,Dry,Warm
A10_2007,2007,4,15,0,1,1,0.001,455.676,-2.915787258,Wet,Warm
A27_2018,2018,4,15,0,1,1,0.001,302.768,-2.579869562,Wet,Warm
A8_2019,2019,4,15,0,6,6,0.001,219.71,-3.47547053,Dry,Cold
B5_2020,2020,4,15,0,2,2,0.001,233.934,-3.252918217,Dry,Cold
A18_2014,2014,5,15,0,2,2,0.001,279.146,-2.878476994,Dry,Warm
B17_2014,2014,6,15,0,1,1,0.001,279.146,-2.878476994,Dry,Warm
B11_2015,2015,6,15,0,3,3,0.001,506.984,-2.316151362,Wet,Warm
A43_2020,2020,6,15,0,1,1,0.001,233.934,-3.252918217,Dry,Cold
B21_2014,2014,7,15,1,1,2,0.5,279.146,-2.878476994,Dry,Warm
B13_2019,2019,7,15,0,6,6,0.001,219.71,-3.47547053,Dry,Cold
B17_2014,2014,8,15,0,3,3,0.001,279.146,-2.878476994,Dry,Warm
B21_2014,2014,8,15,1,3,4,0.25,279.146,-2.878476994,Dry,Warm
A4_2019,2019,8,15,1,3,4,0.25,219.71,-3.47547053,Dry,Cold
B11_2015,2015,9,15,0,7,7,0.001,506.984,-2.316151362,Wet,Warm
B6_2011,2011,11,15,0,1,1,0.001,340.106,-2.932766528,Wet,Warm
A8_2019,2019,11,15,0,4,4,0.001,219.71,-3.47547053,Dry,Cold
A8_2014,2014,12,15,1,1,2,0.5,279.146,-2.878476994,Dry,Warm
B2_2014,2014,12,15,0,1,1,0.001,279.146,-2.878476994,Dry,Warm
B7_2014,2014,14,15,2,2,4,0.5,279.146,-2.878476994,Dry,Warm
B2_2019,2019,14,15,1,9,10,0.1,219.71,-3.47547053,Dry,Cold
B17_2015,2015,16,15,1,1,2,0.5,506.984,-2.316151362,Wet,Warm
B5_2019,2019,17,15,2,3,5,0.4,219.71,-3.47547053,Dry,Cold
A24_2014,2014,18,15,1,2,3,0.333333333,279.146,-2.878476994,Dry,Warm
A2_2019,2019,18,15,3,1,4,0.75,219.71,-3.47547053,Dry,Cold
B13_2019,2019,18,15,1,2,3,0.333333333,219.71,-3.47547053,Dry,Cold
B13_2015,2015,19,15,0,2,2,0.001,506.984,-2.316151362,Wet,Warm
A40_2019,2019,19,15,1,1,2,0.5,219.71,-3.47547053,Dry,Cold
BG5_2019,2019,19,15,1,3,4,0.25,219.71,-3.47547053,Dry,Cold
B2_2019,2019,20,15,0,2,2,0.001,219.71,-3.47547053,Dry,Cold
A43_2020,2020,20,15,0,6,6,0.001,233.934,-3.252918217,Dry,Cold
BG5_2020,2020,21,15,1,2,3,0.333333333,233.934,-3.252918217,Dry,Cold
A4_2019,2019,22,15,0,3,3,0.001,219.71,-3.47547053,Dry,Cold
B8_2020,2020,22,15,2,2,4,0.5,233.934,-3.252918217,Dry,Cold
B13_2013,2013,23,15,0,3,3,0.001,236.728,-3.650611887,Dry,Cold
A10_2014,2014,23,15,0,1,1,0.001,279.146,-2.878476994,Dry,Warm
B5_2019,2019,23,15,1,3,4,0.25,219.71,-3.47547053,Dry,Cold
A2_2020,2020,23,15,3,3,6,0.5,233.934,-3.252918217,Dry,Cold
B20_2013,2013,24,15,1,3,4,0.25,236.728,-3.650611887,Dry,Cold
B7_2014,2014,24,15,4,1,5,0.8,279.146,-2.878476994,Dry,Warm
A27_2015,2015,24,15,2,0,2,0.999,506.984,-2.316151362,Wet,Warm
B5_2019,2019,24,15,0,5,5,0.001,219.71,-3.47547053,Dry,Cold
B13_2014,2014,25,15,3,3,6,0.5,279.146,-2.878476994,Dry,Warm
A10_2015,2015,25,15,2,3,5,0.4,506.984,-2.316151362,Wet,Warm
A18_2015,2015,25,15,0,2,2,0.001,506.984,-2.316151362,Wet,Warm
A2_2019,2019,25,15,2,0,2,0.999,219.71,-3.47547053,Dry,Cold
B17_2014,2014,26,15,2,2,4,0.5,279.146,-2.878476994,Dry,Warm
A8_2020,2020,26,15,0,1,1,0.001,233.934,-3.252918217,Dry,Cold
B2_2019,2019,28,15,5,0,5,0.999,219.71,-3.47547053,Dry,Cold
B2_2019,2019,29,15,11,0,11,0.999,219.71,-3.47547053,Dry,Cold
B13_2006,2006,1,30,0,1,1,0.001,180.34,-3.301481382,Dry,Cold
A2_2015,2015,1,30,0,10,10,0.001,506.984,-2.316151362,Wet,Warm
A43_2020,2020,1,30,0,1,1,0.001,233.934,-3.252918217,Dry,Cold
B14_2006,2006,2,30,0,2,2,0.001,180.34,-3.301481382,Dry,Cold
A4_2007,2007,2,30,0,5,5,0.001,455.676,-2.915787258,Wet,Warm
B1_2011,2011,2,30,0,3,3,0.001,340.106,-2.932766528,Wet,Warm
A10_2018,2018,2,30,0,2,2,0.001,302.768,-2.579869562,Wet,Warm
B5_2019,2019,2,30,0,2,2,0.001,219.71,-3.47547053,Dry,Cold
A7_2020,2020,2,30,0,2,2,0.001,233.934,-3.252918217,Dry,Cold
A13_2020,2020,2,30,0,4,4,0.001,233.934,-3.252918217,Dry,Cold
A4_2007,2007,3,30,0,4,4,0.001,455.676,-2.915787258,Wet,Warm
A18_2012,2012,3,30,0,1,1,0.001,308.61,-2.678682782,Wet,Warm
A10_2014,2014,3,30,0,10,10,0.001,279.146,-2.878476994,Dry,Warm
A2_2017,2017,3,30,0,1,1,0.001,291.084,-2.182970334,Dry,Warm
A10_2018,2018,3,30,0,1,1,0.001,302.768,-2.579869562,Wet,Warm
A10_2007,2007,4,30,0,11,11,0.001,455.676,-2.915787258,Wet,Warm
A2_2017,2017,4,30,0,2,2,0.001,291.084,-2.182970334,Dry,Warm
A27_2018,2018,4,30,0,4,4,0.001,302.768,-2.579869562,Wet,Warm
A8_2019,2019,4,30,0,4,4,0.001,219.71,-3.47547053,Dry,Cold
A2_2019,2019,4,30,0,7,7,0.001,219.71,-3.47547053,Dry,Cold
B5_2020,2020,4,30,0,2,2,0.001,233.934,-3.252918217,Dry,Cold
A18_2013,2013,6,30,0,3,3,0.001,236.728,-3.650611887,Dry,Cold
B18_2013,2013,6,30,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
B17_2014,2014,6,30,0,5,5,0.001,279.146,-2.878476994,Dry,Warm
B11_2015,2015,6,30,0,1,1,0.001,506.984,-2.316151362,Wet,Warm
A13_2017,2017,6,30,0,2,2,0.001,291.084,-2.182970334,Dry,Warm
A43_2020,2020,6,30,0,8,8,0.001,233.934,-3.252918217,Dry,Cold
A4_2020,2020,6,30,0,2,2,0.001,233.934,-3.252918217,Dry,Cold
BG4_2013,2013,7,30,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
B21_2014,2014,7,30,2,2,4,0.5,279.146,-2.878476994,Dry,Warm
B13_2019,2019,7,30,0,4,4,0.001,219.71,-3.47547053,Dry,Cold
A7_2020,2020,7,30,0,4,4,0.001,233.934,-3.252918217,Dry,Cold
BG5_2020,2020,7,30,0,3,3,0.001,233.934,-3.252918217,Dry,Cold
B1_2011,2011,8,30,4,0,4,0.999,340.106,-2.932766528,Wet,Warm
B17_2014,2014,8,30,0,4,4,0.001,279.146,-2.878476994,Dry,Warm
B21_2014,2014,8,30,1,2,3,0.333333333,279.146,-2.878476994,Dry,Warm
A43_2017,2017,8,30,1,1,2,0.5,291.084,-2.182970334,Dry,Warm
B6_2017,2017,8,30,1,1,2,0.5,291.084,-2.182970334,Dry,Warm
A13_2018,2018,8,30,0,1,1,0.001,302.768,-2.579869562,Wet,Warm
A4_2019,2019,8,30,1,1,2,0.5,219.71,-3.47547053,Dry,Cold
B11_2015,2015,9,30,0,2,2,0.001,506.984,-2.316151362,Wet,Warm
A10_2020,2020,9,30,0,2,2,0.001,233.934,-3.252918217,Dry,Cold
B1_2009,2009,10,30,0,1,1,0.001,276.606,-2.993546066,Dry,Warm
B12_2011,2011,10,30,1,0,1,0.999,340.106,-2.932766528,Wet,Warm
B2_2012,2012,10,30,0,2,2,0.001,308.61,-2.678682782,Wet,Warm
A4_2009,2009,11,30,0,1,1,0.001,276.606,-2.993546066,Dry,Warm
B6_2011,2011,11,30,0,7,7,0.001,340.106,-2.932766528,Wet,Warm
A18_2013,2013,11,30,1,5,6,0.166666667,236.728,-3.650611887,Dry,Cold
A13_2020,2020,11,30,2,2,4,0.5,233.934,-3.252918217,Dry,Cold
B10_2020,2020,11,30,0,6,6,0.001,233.934,-3.252918217,Dry,Cold
A8_2004,2004,12,30,0,1,1,0.001,224.028,-3.067724376,Dry,Warm
B12_2013,2013,12,30,1,1,2,0.5,236.728,-3.650611887,Dry,Cold
A8_2014,2014,12,30,0,4,4,0.001,279.146,-2.878476994,Dry,Warm
B2_2014,2014,12,30,0,2,2,0.001,279.146,-2.878476994,Dry,Warm
B5_2020,2020,12,30,0,3,3,0.001,233.934,-3.252918217,Dry,Cold
A41_2007,2007,13,30,0,3,3,0.001,455.676,-2.915787258,Wet,Warm
A10_2009,2009,13,30,0,8,8,0.001,276.606,-2.993546066,Dry,Warm
BG2_2013,2013,13,30,0,3,3,0.001,236.728,-3.650611887,Dry,Cold
A40_2018,2018,13,30,1,1,2,0.5,302.768,-2.579869562,Wet,Warm
A8_2009,2009,14,30,0,1,1,0.001,276.606,-2.993546066,Dry,Warm
BG4_2013,2013,14,30,1,10,11,0.090909091,236.728,-3.650611887,Dry,Cold
B2_2019,2019,14,30,1,1,2,0.5,219.71,-3.47547053,Dry,Cold
A2_2005,2005,15,30,1,0,1,0.999,326.644,-2.633386836,Wet,Warm
B5_2005,2005,15,30,1,1,2,0.5,326.644,-2.633386836,Wet,Warm
